segment,qpm,accept_improve,total_savings,token_savings,time_savings,rerank_savings
Free,10000,0.05,15.353333333333333,0.27,14.583333333333334,0.5
Developer,50000,0.05,79.26666666666667,1.35,72.91666666666667,5.0
Pro,500000,0.05,842.6666666666666,13.5,729.1666666666666,100.0
Team,1000000,0.05,1735.3333333333333,27.0,1458.3333333333333,250.0
Scale,2000000,0.05,3570.6666666666665,54.0,2916.6666666666665,600.0
Enterprise,5000000,0.05,9176.666666666668,135.0,7291.666666666667,1750.0
Free,10000,0.1,30.206666666666667,0.54,29.166666666666668,0.5
Developer,50000,0.1,153.53333333333333,2.7,145.83333333333334,5.0
Pro,500000,0.1,1585.3333333333333,27.0,1458.3333333333333,100.0
Team,1000000,0.1,3220.6666666666665,54.0,2916.6666666666665,250.0
Scale,2000000,0.1,6541.333333333333,108.0,5833.333333333333,600.0
Enterprise,5000000,0.1,16603.333333333336,270.0,14583.333333333334,1750.0
Free,10000,0.15,45.06,0.81,43.75,0.5
Developer,50000,0.15,227.8,4.05,218.75,5.0
Pro,500000,0.15,2328.0,40.5,2187.5,100.0
Team,1000000,0.15,4706.0,81.0,4375.0,250.0
Scale,2000000,0.15,9512.0,162.0,8750.0,600.0
Enterprise,5000000,0.15,24030.0,405.0,21875.0,1750.0
